"stimulus","rt","response","phase","word","carrier","block","wordAccent","wordAccentStep","carrierAccent","carrierAccentStep","option_0","option_1","sound","trial_index","time_elapsed","participantID","answer"
"<h1>どちらの単語が聞こえましたか</h1>","577","1","iden_exp","hana","deta","1","U","11","U","3","hanaU","hanaU","hanaU11-detaU03","158","21","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","908","1","iden_exp","hana","deta","1","A","1","U","1","hanaA","hanaA","hanaA01-detaU01","160","21","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","619","0","iden_exp","hana","deta","1","A","6","A","3","hanaA","hanaU","hanaA06-detaA03","162","22","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","646","0","iden_exp","hana","deta","1","U","9","U","11","hanaU","hanaU","hanaU09-detaU11","164","22","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","515","0","iden_exp","hana","deta","1","U","6","A","9","hanaU","hanaU","hanaU06-detaA09","166","22","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","564","1","iden_exp","hana","deta","1","U","5","A","1","hanaU","hanaU","hanaU05-detaA01","168","22","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","471","1","iden_exp","hana","deta","1","A","7","A","5","hanaA","hanaU","hanaA07-detaA05","170","23","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","676","1","iden_exp","hana","deta","1","U","11","A","1","hanaU","hanaU","hanaU11-detaA01","172","23","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","590","0","iden_exp","hana","deta","1","U","11","U","1","hanaU","hanaU","hanaU11-detaU01","174","23","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","1169","0","iden_exp","","","1","","","","","","","","176","23","paper took",""
"<h1>どちらの単語が聞こえましたか</h1>","581","0","iden_exp","hana","deta","1","A","11","U","5","hanaA","hanaA","hanaA11-detaU05","178","24","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","569","1","iden_exp","hana","deta","1","U","11","U","6","hanaU","hanaU","hanaU11-detaU06","180","24","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","656","0","iden_exp","hana","deta","1","U","6","A","3","hanaU","hanaU","hanaU06-detaA03","182","24","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","626","0","iden_exp","hana","deta","1","U","1","U","5","hanaU","hanaU","hanaU01-detaU05","184","24","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","737","0","iden_exp","hana","deta","1","U","7","U","11","hanaU","hanaU","hanaU07-detaU11","186","25","paper took","hanaU"
"<h1>どちらの単語が聞こえましたか</h1>","619","1","iden_exp","hana","deta","1","A","6","U","1","hanaA","hanaA","hanaA06-detaU01","188","25","paper took","hanaA"
"<h1>どちらの単語が聞こえましたか</h1>","612","1","iden_exp","hana","deta","1","A","3","U","7","hanaA","hanaA","hanaA03-detaU07","190","25","paper took","hanaA"
